total_patients,avg_waiting_time,median_waiting_time,max_waiting_time,avg_los,median_los,target_compliance,level_1_count,level_1_avg_wait,level_1_median_wait,level_1_max_wait,level_1_target_compliance,level_2_count,level_2_avg_wait,level_2_median_wait,level_2_max_wait,level_2_target_compliance,level_3_count,level_3_avg_wait,level_3_median_wait,level_3_max_wait,level_3_target_compliance,level_4_count,level_4_avg_wait,level_4_median_wait,level_4_max_wait,level_4_target_compliance,level_5_count,level_5_avg_wait,level_5_median_wait,level_5_max_wait,level_5_target_compliance,strategy,seed,replication
58,49.58228903459051,37.367019681769676,167.4680555784587,68.56467503541973,52.5134596356866,86.20689655172413,3,9.145221376127623,8.222617049843393,11.79197285045096,0.0,8,15.129709166098909,12.455198659002093,34.408262337084864,62.5,19,16.002235166603512,11.124639382735808,38.13021160823453,100.0,28,86.54489137084316,83.07149416357763,167.4680555784587,92.85714285714286,0,0.0,0.0,0.0,0.0,Priority Strict,55,14
54,40.85750685151725,12.151429927178356,222.36063108632445,61.64928608956874,36.090042292537134,83.33333333333334,2,9.582040510138398,9.582040510138398,10.195935242848918,0.0,3,9.97899849443138,8.845752256526907,13.121383835953623,100.0,32,13.625961532833838,11.081245556008355,35.31252090740804,100.0,15,112.16618986286467,111.44666285059304,222.36063108632445,53.333333333333336,2,19.340338242353724,19.340338242353724,31.713531817831665,100.0,Priority Strict,56,15
47,23.97709210141713,15.727179565300034,222.99841334953575,47.827982908970625,43.350049657957356,89.36170212765957,2,9.418489880809432,9.418489880809432,11.846781626208667,0.0,14,10.388320429623883,10.172361372125806,16.528348811847152,85.71428571428571,23,26.805215251689564,30.49237720217667,54.52342817332516,100.0,7,48.636723984621554,19.56920234754753,222.99841334953575,85.71428571428571,1,5.672844309041096,5.672844309041096,5.672844309041096,100.0,Priority Strict,57,16
48,35.76823745358172,15.626756394272107,200.31544676698837,58.0003513977286,48.36468928081193,85.41666666666666,1,21.148075394628563,21.148075394628563,21.148075394628563,0.0,15,10.03897845479344,9.113743689998273,16.48301763035994,80.0,21,28.590006652293265,33.3349825591599,60.47518361310614,95.23809523809523,10,93.97021388301513,98.74044362813628,200.31544676698837,80.0,1,5.050367027082444,5.050367027082444,5.050367027082444,100.0,Priority Strict,58,17
43,73.8000421412107,23.70857284603872,343.5841864162822,100.87232123710575,62.57868181072385,34.883720930232556,8,13.089494748862442,11.38573093755761,23.8345258893292,0.0,11,20.077439031981317,15.49300753764436,44.74371322258631,45.45454545454545,18,54.447105936919606,31.024785279302677,140.1332967625857,55.55555555555556,6,311.29768631080213,306.00193766313816,343.5841864162822,0.0,0,0.0,0.0,0.0,0.0,Priority Strict,59,18
33,52.30955767138181,51.64161131374297,174.93130648111458,78.83818785425245,78.39356926867632,18.181818181818183,2,7.115812062208676,7.115812062208676,7.364404019528479,0.0,20,33.27886011954896,29.904053047692386,70.65030777328269,30.0,11,95.12787060365481,90.72165895279528,174.93130648111458,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Priority Strict,60,19
47,39.540652288072074,11.772768079555902,293.95724339551776,63.33326981844635,40.871934215652175,74.46808510638297,4,8.864825167801872,7.987239244104202,12.320484976397026,0.0,10,13.2442010706779,10.958997042125887,31.695554036488147,70.0,26,17.72650074881565,11.663922822837108,62.3260028844343,96.15384615384616,7,175.66004667031342,255.24741769877267,293.95724339551776,42.857142857142854,0,0.0,0.0,0.0,0.0,Priority Strict,61,20
54,37.51078362074075,16.319526991655025,174.82712752150005,58.226677040274886,44.63942515941905,77.77777777777779,3,9.51458337282808,8.971827793333546,12.084699225539566,0.0,13,15.7388414422111,13.094769140092922,34.6981131635668,61.53846153846154,17,19.612791883498943,11.490890251411471,76.4494642243522,88.23529411764706,21,69.47696022063286,66.11947163576271,174.82712752150005,90.47619047619048,0,0.0,0.0,0.0,0.0,Priority Strict,62,21
42,46.191822913916575,28.716144076920123,142.61028506770248,72.69651024767674,57.30107313800818,42.857142857142854,5,9.951236877175045,9.538175379615893,12.525093571260783,0.0,14,19.56031856011426,14.2459804032586,59.86033735787217,50.0,20,71.43522751344584,75.60168967165151,142.61028506770248,40.0,3,62.58378929603486,60.57203525243645,68.50660067748804,100.0,0,0.0,0.0,0.0,0.0,Priority Strict,63,22
53,24.96402098177851,13.520287817039048,136.08237678233118,45.85672554783431,40.82140695945998,83.01886792452831,5,10.183055588929978,10.965126047294234,12.489461335704164,0.0,7,13.120874249299524,12.210000712172928,23.601694572096847,71.42857142857143,16,20.54454952295713,14.536846289253418,53.27088759159682,100.0,18,43.581668161957886,42.564888285601995,136.08237678233118,88.88888888888889,7,9.592699294565461,8.812509684692344,22.937798703218974,100.0,Priority Strict,64,23
